Brewery,City,Name,Abv,Ibu,Srm,Tags
Brasserie Clarysse,Oudenaarde,St.Hermes Abbey Ale,?,?,?,?
Brouwerij Bosteels,Buggenhout,Deus Brut des Flandres,11.5%,?,?,?
Brouwerij Bosteels,Buggenhout,Pauwel Kwak,8%,?,?,?
Brouwerij Bosteels,Buggenhout,Triple Karmeliet,8%,?,?,belgian_and_french_ale|belgian_style_tripel
Brouwerij De Landtsheer,Buggenhout,Malheur 10,10%,?,?,?
Brouwerij De Landtsheer,Buggenhout,Malheur 12,12%,?,?,?
Brouwerij De Landtsheer,Buggenhout,Malheur Black Chocolate 2003,12%,?,?,?
Brouwerij De Landtsheer,Buggenhout,Malheur Brut Reserve,11%,?,?,?
Brouwerij De Landtsheer,Buggenhout,Malheur MM,10%,?,?,?
Brouwerij Huyghe,Melle,Delirium Nocturnum,9%,?,?,belgian_and_french_ale|belgian_style_dark_strong_ale
Brouwerij Huyghe,Melle,Delirium NoÃ«l,10%,?,?,belgian_and_french_ale|other_belgian_style_ales
Brouwerij Huyghe,Melle,Delirium Tremens,8.5%,?,?,belgian_and_french_ale|belgian_style_pale_strong_ale
Brouwerij Huyghe,Melle,Duinen Dubbel,8%,?,?,?
Brouwerij Huyghe,Melle,Duinen Tripel,?,?,?,?
Brouwerij Liefmans,Oudenaarde,Gluhkriek,?,?,?,belgian_and_french_ale|belgian_style_fruit_lambic
Brouwerij Liefmans,Oudenaarde,Goudenband 1996,3.98%,?,?,?
Brouwerij Liefmans,Oudenaarde,Goudenband 1999,?,?,?,?
Brouwerij Liefmans,Oudenaarde,Goudenband 2002,8%,?,?,?
Brouwerij Liefmans,Oudenaarde,Liefmans Kriekbier,6%,?,?,belgian_and_french_ale|belgian_style_fruit_lambic
Brouwerij Liefmans,Oudenaarde,Lucifer,8.5%,?,?,?
Brouwerij Roman,Oudenaarde,Ename Tripel,8.5%,?,?,?
Brouwerij Slaghmuylder,Ninove,Witkap-Pater Singel Abbey Ale,?,?,?,?
Brouwerij Slaghmuylder,Ninove,Witkap-Pater Tripel,7.5%,?,?,?
Brouwerij The Musketiers,Ursel,Troubadour,6.5%,?,?,north_american_ale|american_style_pale_ale
Brouwerij Van Den Bossche,Sint-Lievens-Esse,Buffalo Belgian Stout,9%,?,?,?
Brouwerij Van Den Bossche,Sint-Lievens-Esse,Kerst Pater Special Christmas Beer,9%,?,?,?
Brouwerij Van Steenberge,Ertvelde,Augustijn Ale,8%,?,?,?
Brouwerij Van Steenberge,Ertvelde,Bornem Double,8%,?,?,belgian_and_french_ale|other_belgian_style_ales
Brouwerij Van Steenberge,Ertvelde,Bornem Triple,9%,?,?,belgian_and_french_ale|other_belgian_style_ales
Brouwerij Van Steenberge,Ertvelde,Bruegel Amber Ale,5.2%,?,?,north_american_ale|american_style_amber_red_ale
Brouwerij Van Steenberge,Ertvelde,Ertvelds Wit,5%,?,?,?
Brouwerij Van Steenberge,Ertvelde,Gulden Draak,10.5%,?,?,?
Brouwerij Van Steenberge,Ertvelde,Head Trip,10.5%,?,?,belgian_and_french_ale|other_belgian_style_ales
Brouwerij Van Steenberge,Ertvelde,Leute Bok Bier,7.5%,?,?,german_lager|traditional_german_style_bock
Brouwerij Van Steenberge,Ertvelde,Monk's Cafe,5.5%,?,?,?
Brouwerij Van Steenberge,Ertvelde,Piraat 10.5%,10.5%,?,?,north_american_ale|golden_or_blonde_ale
Brouwerij Van Steenberge,Ertvelde,Steenbrugge Tripel Blond,?,?,?,?
Brouwerij Van Steenberge,Ertvelde,Tikka Gold,5%,?,?,north_american_ale|american_style_pale_ale
De Proef Brouwerij,Lochristi-Hijfte,Andelot Angelique,7%,?,?,?
De Proef Brouwerij,Lochristi-Hijfte,Andelot Cuvee Diabolique,8.5%,?,?,?
De Proef Brouwerij,Lochristi-Hijfte,Andelot Euphorique,6.5%,?,?,?
De Proef Brouwerij,Lochristi-Hijfte,Andelot Mystique,8.5%,?,?,?
De Proef Brouwerij,Lochristi-Hijfte,Flemish Primitive Wild Ale (Demon Fish),9%,?,?,?
De Proef Brouwerij,Lochristi-Hijfte,Flemish Primitive Wild Ale (Pig Nun),9%,?,?,?
De Proef Brouwerij,Lochristi-Hijfte,Flemish Primitive Wild Ale (Pin Head),9%,?,?,?
De Proef Brouwerij,Lochristi-Hijfte,Flemish Primitive Wild Ale (Spoon Whacker),9%,?,?,?
De Proef Brouwerij,Lochristi-Hijfte,Flemish Primitive Wild Ale (Surly Bird),9%,?,?,?
De Proef Brouwerij,Lochristi-Hijfte,K-O Blond Beer,10%,?,?,?
De Proef Brouwerij,Lochristi-Hijfte,Lozen Boer Abt,10%,?,?,?
De Proef Brouwerij,Lochristi-Hijfte,Reinaert Flemish Wild Ale,9%,?,?,?
De Proef Brouwerij,Lochristi-Hijfte,Saison Imperiale,8.5%,?,?,?
De Proef Brouwerij,Lochristi-Hijfte,Slaapmutske Triple Nightcap,8.1%,?,?,?
De Proef Brouwerij,Lochristi-Hijfte,Tripel Krullekop,9.8%,?,?,?
De Proef Brouwerij,Lochristi-Hijfte,Van den Vern Grand Cru,9.8%,?,?,?
De Proef Brouwerij,Lochristi-Hijfte,Zoetzuur Flemish Ale,7%,?,?,?
ICOBES b.v.b.a.,Evergem,BiÃ¨re du Boucanier,?,?,?,?
