Name,Address,City,State,Code,Website,Tags
Brasserie Clarysse,Krekelput 16-18,Oudenaarde,VOV,,?,?
Brouwerij Bosteels,Kerkstraat 92,Buggenhout,VOV,,?,?
Brouwerij De Landtsheer,Mandekenstraat 179,Buggenhout,VOV,,?,?
Brouwerij Huyghe,Brusselse Steenweg 282,Melle,VOV,,?,?
Brouwerij Liefmans,200 Aalststraat,Oudenaarde,VOV,,?,?
Brouwerij Roman,Hauwaart 105,Oudenaarde,VOV,,?,?
Brouwerij Slaghmuylder,Denterhoutembaan 2,Ninove,VOV,,?,?
Brouwerij The Musketiers,Tramstraat 8,Ursel,VOV,,?,?
Brouwerij Van Den Bossche,St Lievensplein 16,Sint-Lievens-Esse,VOV,,?,?
Brouwerij Van Steenberge,Lindenlaan 25,Ertvelde,VOV,,?,?
De Proef Brouwerij,Doornzelestraat 20,Lochristi-Hijfte,VOV,,?,?
ICOBES b.v.b.a.,Durmakker 23,Evergem,VOV,,?,?
Kleinbrouwerij de Glazen Toren,Glazentorenweg 11,Erpe-Mere,VOV,,?,?
