Brewery,City,Name,Abv,Ibu,Srm,Tags
Brasserie De L'Abbaye Des Rocs,Montignies-sur-Roc,Ambree,9%,?,?,?
Brasserie De L'Abbaye Des Rocs,Montignies-sur-Roc,Belgian Burgundy Ale,9%,?,?,?
Brasserie De L'Abbaye Des Rocs,Montignies-sur-Roc,Blanche Double,6%,?,?,?
Brasserie De L'Abbaye Des Rocs,Montignies-sur-Roc,Blanche des Honnelles,6%,?,?,?
Brasserie De L'Abbaye Des Rocs,Montignies-sur-Roc,Blonde,7.5%,?,?,?
Brasserie De L'Abbaye Des Rocs,Montignies-sur-Roc,Brune,9.5%,?,?,?
Brasserie De L'Abbaye Des Rocs,Montignies-sur-Roc,Grand Cru,9.5%,?,?,?
Brasserie De L'Abbaye Des Rocs,Montignies-sur-Roc,Montagnarde,9%,?,?,?
Brasserie De L'Abbaye Des Rocs,Montignies-sur-Roc,SpÃ©ciale NoÃ«l,?,?,?,?
Brasserie De L'Abbaye Des Rocs,Montignies-sur-Roc,Triple ImpÃ©riale,?,?,?,?
Brasserie Dubuisson,Pipaix,Clovis,?,?,?,?
Brasserie Dubuisson,Pipaix,Scaldis / Bush Amber 12%,12%,?,?,?
Brasserie Dubuisson,Pipaix,Scaldis NoÃ«l / Bush NoÃ«l,?,?,?,?
Brasserie Dubuisson,Pipaix,Scaldis Prestige,13%,?,?,?
Brasserie Dupont,Tourpes,Avec Les Bons Voeux,9.5%,?,?,?
Brasserie Dupont,Tourpes,BiÃ¨re de Miel,?,?,?,?
Brasserie Dupont,Tourpes,Foret Saison,?,?,?,?
Brasserie Dupont,Tourpes,Moinette Blonde,8.5%,?,?,?
Brasserie Dupont,Tourpes,Moinette Brune,8.5%,?,?,?
Brasserie Dupont,Tourpes,Saison Vielle Provision,6.5%,?,?,?
Brasserie Ellezelloise,Ellezelles,Hercule Stout,9%,?,?,north_american_ale|american_style_stout
Brasserie Ellezelloise,Ellezelles,La BiÃ¨re des Collines van de Saisis,?,?,?,?
Brasserie Ellezelloise,Ellezelles,La Quintine AmbrÃ©e / Amber,?,?,?,?
Brasserie Ellezelloise,Ellezelles,La Quintine Blonde,8%,?,?,?
Brasserie La Binchoise,Binche,Blonde Tradition,6.2%,?,?,?
Brasserie La Binchoise,Binche,Bruin Tradition / Brune Tradition,8.2%,?,?,?
Brasserie La Binchoise,Binche,Reserve Speciale / SpÃ©ciale NoÃ«l,?,?,?,?
Brasserie d'Ecaussinnes,Ecaussinnes,Ultra AmbrÃ©e,?,?,?,?
Brasserie d'Ecaussinnes,Ecaussinnes,Ultrablonde,8%,?,?,?
Brasserie d'Ecaussinnes,Ecaussinnes,Ultrabrune,10%,?,?,?
Brasserie de Blaugies,Blaugies,BiÃ¨re Darbyste,?,?,?,other_style|light_american_wheat_ale_or_lager
Brasserie de Blaugies,Blaugies,La Moneuse,8%,?,?,?
Brasserie de Blaugies,Blaugies,Moneuse Speciale NoÃ«l,?,?,?,?
Brasserie de Brunehaut,Brunehaut,Abbaye de Saint-Martin Blonde,7%,?,?,belgian_and_french_ale|belgian_style_pale_strong_ale
Brasserie de Brunehaut,Brunehaut,Abbaye de Saint-Martin Brune,8%,?,?,belgian_and_french_ale|belgian_style_dark_strong_ale
Brasserie de Brunehaut,Brunehaut,Abbaye de Saint-Martin CuvÃ©e de Noel,8.5%,?,?,?
Brasserie de Brunehaut,Brunehaut,Abbaye de Saint-Martin Triple,9%,?,?,belgian_and_french_ale|other_belgian_style_ales
Brasserie de Brunehaut,Brunehaut,Abbaye de St Amand,7%,?,?,belgian_and_french_ale|other_belgian_style_ales
Brasserie de Brunehaut,Brunehaut,Brasserie De Brunehaut Bio BiÃ¨re Blonde (Organic),6.5%,?,?,belgian_and_french_ale|other_belgian_style_ales
Brasserie de Brunehaut,Brunehaut,Brasserie de Brunehaut Bio BiÃ¨re AmbrÃ©e (Organic),6.5%,?,?,north_american_ale|american_style_amber_red_ale
Brasserie de Brunehaut,Brunehaut,Brasserie de Brunehaut Bio BiÃ¨re Blanche (Organic),5%,?,?,belgian_and_french_ale|belgian_style_white
Brasserie de Brunehaut,Brunehaut,Mont St. Aubert,8%,?,?,?
Brasserie de Silly,Silly,Double Enghien Blonde Ale,7.5%,?,?,?
Brasserie de Silly,Silly,Double Enghien Bruin,8%,?,?,?
Brasserie de Silly,Silly,La Divine Double Blond,7.5%,?,?,?
Brasserie de Silly,Silly,La Divine Tripel Amber,9%,?,?,?
Brasserie de Silly,Silly,Saison,5.3%,?,?,?
Brasserie de Silly,Silly,Scotch,8%,?,?,north_american_ale|american_style_pale_ale
Brasserie de l'Abbaye de Scourmont (Trappistes),Chimay-Forges,Cinq Cents (White),8%,?,?,?
Brasserie de l'Abbaye de Scourmont (Trappistes),Chimay-Forges,PremiÃ¨re (Red),?,?,?,?
Brasserie des Gants,Irchonwelz,Gouyasse / Goliath,9%,?,?,?
Brasserie des Gants,Irchonwelz,Saison Voisin,5%,?,?,?
Brouwerij Alken-Maes,Jumet,Grimbergen Blonde,6.7%,?,?,?
Brouwerij St-Feuillien,Le Roeulx,Brune / Bruin,7.5%,?,?,?
Brouwerij St-Feuillien,Le Roeulx,Triple,8.5%,?,?,?
