Brewery,City,Name,Abv,Ibu,Srm,Tags
Abbaye Notre Dame du St Remy,Rochefort,Rochefort 10,11.3%,?,?,belgian_and_french_ale|belgian_style_quadrupel
Abbaye Notre Dame du St Remy,Rochefort,Rochefort 6,7.5%,?,?,north_american_ale|dark_american_belgo_style_ale
Abbaye Notre Dame du St Remy,Rochefort,Rochefort 8,9.2%,?,?,?
Abbaye de Leffe,Dinant,Brune (Brown),6.8%,?,?,?
Abbaye de Leffe,Dinant,Leffe Blonde,6.6%,?,?,north_american_ale|golden_or_blonde_ale
Abbaye de Maredsous,Dene,10,10%,?,?,belgian_and_french_ale|belgian_style_tripel
Abbaye de Maredsous,Dene,6,6%,?,?,north_american_ale|golden_or_blonde_ale
Abbaye de Maredsous,Dene,8,8%,?,?,belgian_and_french_ale|belgian_style_dubbel
Brasserie De Silenrieux,Cerfontaine-Silenrieux,Joseph Spelt Ale,?,?,?,?
Brasserie De Silenrieux,Cerfontaine-Silenrieux,Sara Buckwheat Ale,6%,?,?,?
Brasserie La Caracole,Falmignoul,Amber,8%,?,?,?
Brasserie La Caracole,Falmignoul,Nostradamus,9.5%,?,?,?
Brasserie La Caracole,Falmignoul,Saxo,8%,?,?,?
Brasserie La Caracole,Falmignoul,Troublette,5.5%,?,?,?
Brasserie du Bocq,Purnode,Blanche de Namur,4.5%,?,?,?
Brasserie du Bocq,Purnode,Blanche des Moines,4.5%,?,?,?
Brasserie du Bocq,Purnode,Triple Moine,7.2%,?,?,?
